indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
red list index (internationally traded species and migratory species),,,,,,,,1,,,,,,,1,,1,1,1,,,biodiversity,,State of biodiversity,
marine stewardship council certified catch,,,1,,,,,1,,,,,,,2,1,1,1,1,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
total catch of cetaceans under international convention for the regulation of whaling,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
by catch of vulnerable and non-target species,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,Governance,Nature-based legislation,National/international cooperation
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,Direct drivers,Specific monetary valuation of nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
illegal trade by cites species classification,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
number of countries incorporating trade in their national biodiversity policy,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of msc chain of custody certification holders by distribution country,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
number of invasive alien species in national lists as per the global register of introduced and invasive species,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Invasive alien species,
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
red list index (impacts of invasive alien species),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
trends in loss of reactive nitrogen to the environment,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
trends in nitrogen deposition,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Direct drivers,,Pollution,
municipal solid waste collected and managed,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
hazardous waste generation,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
trends in the amount of litter in the water column including microplastics and on the seafloor,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
plastic debris density,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Direct drivers,,Pollution,
underwater noise pollution,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
pesticide use per area of cropland,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
above-ground biomass stock in forest,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (coverage),
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Legislation/governance,
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Nature-based legislation,
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Climate change,
spawning stock biomass (related to commercially exploited species),,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human assets,,State of economy,
agrobiodiversity index,,,,,,,,1,,,,,,,1,,1,1,1,,,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
changes in soil organic carbon stocks,soil organic carbon (soc) stocks,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution
proportion of land that is degraded over total land area,,,1,,,1,,1,1,,,,,1,5,1,1,1,1,,,Direct drivers,,Land conversion,
air emission accounts,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Climate change,
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Legislation/governance,
proportion of population using safely managed drinking water services,,,1,,,1,,1,1,,,,,,4,1,1,1,1,,,Human assets,,Coverage of basic needs,Information on society and socio-economics
mortality rate attributed to household and ambient air pollution,,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,Direct drivers,Healthy living conditions,Pollution
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,biodiversity,Information on biodiversity,Genetic resources
"total number of permits, or their equivalent, granted for access to genetic resources",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,biodiversity,Nature-based legislation,Genetic resources
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",,1,1,,,,,1,1,,,,,,4,1,1,1,1,,,Human well-being,,Equity,
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,biodiversity,Nature-based funding,Species conservation
human appropriation of net primary productivity,,1,,1,,,,1,,,,,,,3,1,1,1,1,,,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion
co2 emission per unit of value added,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Direct drivers,,Climate change,
change in water-use efficiency over time,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human assets,,Infrastructure (build-up area),
number of companies publishing sustainability reports,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Knowledge systems,,Information on society and socio-economics,
recycling rate,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
life cycle impact assessment (lcia),,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
levels of poverty in developing communities,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,Income,State of economy
number of countries that have the necessary biosafety legal and administrative measures in place,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries that implement their biosafety measures,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries that establish and implement risk management measures,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries with legal and technical measures for restoration and compensation,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
percentage of parties to the nagoya - kuala lumpur supplementary protocol,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries with biodiversity-relevant taxes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
number of countries with biodiversity-relevant charges and fees,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
number of countries with biodiversity-relevant tradable permit schemes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature detrimental legislation,
trends in the number and value of government fossil-fuel support measures,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature detrimental legislation,
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Nature detrimental legislation,
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",,,1,,,,,1,,,,,,,2,1,1,1,,,,Human assets,,Information on society and socio-economics,
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,National/international cooperation,
dollar value of all resources made available to strengthen statistical capacity in developing countries,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,National/international cooperation,
amount of biodiversity-related philanthropic funding,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
"number of countries that have assessed values of biodiversity, in accordance with the convention",,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
"number of countries that have identified and reported funding needs, gaps and priorities",,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
number of countries that have developed national financial plans for biodiversity,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
number of countries that have been provided with the necessary funding and capacity building to undertake the above activities,"number of countries that have been provided with the necessary funding and capacity building to undertake assessment values of biodiversity, in accordance with the Convention, and/or identified and reported funding needs, gaps and priorities, and/or developed national financial plans for biodiversity",,,,,,,1,,,,,,,1,,1,1,,,,Governance,Knowledge systems,Nature-based funding,Information on biodiversity
growth in number of records and species in the living planet index database,,,,,,,,1,,,,,,,1,,1,1,1,,,Knowledge systems,,Information on biodiversity,
species occurrence records accessible through the global biodiversity information facility,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Knowledge systems,,Information on biodiversity,
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
proportion of known species assessed through the red list index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,Species conservation,
number of assessments on the red list index,,,,,,,,1,,,,,,,1,,1,1,1,,,biodiversity,,Species conservation,
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
"proportions of positions in national and local institutions, including the legislatures, compared to national distributions, by sex, age, persons with disabilities and population groups",,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,,Equity,
"proportions of positions in national and local institutions, including the public service, compared to national distributions, by sex, age, persons with disabilities and population groups",,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,,Equity,
"proportions of positions in national and local institutions, including the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,,Equity,
number of countries with systems to track and make public allocations for gender equality and women's empowerment,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,,Equity,
"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human well-being,,Equity,
"share of women among owners or rights-bearers of agricultural land, by type of tenure",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human well-being,,Equity,
number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,Governance,Equity,Legislation/governance
"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Broken governance,
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,Knowledge systems,State of ecosystems,ILK
